hwi,hbw1pro,hbw2pro,hbw3pro,hbw4pro,hsppro,hbopro,otopro,wtopro,hbw1att,hbw2att,hbw3att,hbw4att,hspatt,hboatt,otoatt,wtoatt
h1w0i1,0.071,0,0,0,0.823,1.485,1.233,0.04,0.01,0,0,0,0,2.848,1.35,0.153
h1w1i1,1.334,0,0,0,0.494,1.288,0.879,0.791,0.01,0,0,0,0,2.848,1.35,0.153
h2w0i1,0.096,0,0,0,1.536,2.771,2.03,0.068,0.01,0,0,0,0,2.848,1.35,0.153
h2w1i1,1.168,0,0,0,1.161,2.715,1.46,0.577,0.01,0,0,0,0,2.848,1.35,0.153
h2w2i1,2.072,0,0,0,0.912,2.251,1.275,1.151,0.01,0,0,0,0,2.848,1.35,0.153
h3w0i1,0.096,0,0,0,1.536,2.771,2.03,0.068,0.01,0,0,0,0,2.848,1.35,0.153
h3w1i1,1.704,0,0,0,1.268,3.451,1.906,0.556,0.01,0,0,0,0,2.848,1.35,0.153
h3w2i1,2.61,0,0,0,1.147,3.478,1.426,1.571,0.01,0,0,0,0,2.848,1.35,0.153
h3w3i1,2.61,0,0,0,1.147,3.478,1.426,1.571,0.01,0,0,0,0,2.848,1.35,0.153
h4w0i1,0.096,0,0,0,1.536,2.771,2.03,0.068,0.01,0,0,0,0,2.848,1.35,0.153
h4w1i1,1.378,0,0,0,1.733,6.877,3.734,1.254,0.01,0,0,0,0,2.848,1.35,0.153
h4w2i1,3.158,0,0,0,1.433,5.541,2.37,1.288,0.01,0,0,0,0,2.848,1.35,0.153
h4w3i1,3.158,0,0,0,1.433,5.541,2.37,1.288,0.01,0,0,0,0,2.848,1.35,0.153
h1w0i2,0,0.063,0,0,0.622,1.862,1.576,0.138,0,0.02,0,0,0,2.848,1.35,0.153
h1w1i2,0,1.269,0,0,0.425,1.132,0.742,1.083,0,0.02,0,0,0,2.848,1.35,0.153
h2w0i2,0,0.051,0,0,1.273,3.712,2.389,0.041,0,0.02,0,0,0,2.848,1.35,0.153
